title,arist,lyrics
Wouldn't Mean A Thing,Bruno Major,"I could climb the Himalayan mountains
Or the pyramids in West Peru
I could travel back in time and hear Al Green sing
It wouldn't mean a thing without you
I could sail across the Indian Ocean
And bathe in the reflection of the moon
I could find the buried treasure of ancient kings
But it wouldn't mean a thing without you
No, it wouldn't mean a thing without you

You bring out the best in me
Help me see the world differently
Be a better man than I'd ever be on my own
I'll give you the rest of me
You're the reason I rest easily
It's the love and loyalty you've shown

I could work hard, make a fortune
Bet it all on red only to lose
If money comes my way I won't be complaining
It wouldn't mean a thing without you
No, it wouldn't mean a thing without you

You bring out the best in me
Help me see the world differently
Be a better man than I'd ever be on my own
I'll give you the rest of me
You're the reason I rest easily
It's the love and loyalty you've shown

I could climb the Himalayan mountains
Or the pyramids in West Peru
I could travel back in time and hear Al Green sing
It wouldn't mean a thing with out you
No, it wouldn't mean a thing without you"
Death Of A Bachelor,NateWantsToBattle,"Do I look lonely?
I see the shadows on my face
People have told me
I don't look the same
Maybe I lost weight
I'm playing hooky
With the best of the best
Pull my heart out my chest
So that you can see it too

I'm walking the long road
Watching the sky fall
The lace in your dress
Tangles my neck
How do I live?

The death of a bachelor
Oh oh-oh
Letting the water fall
The death of a bachelor
Oh oh-oh
Seems so fitting for
Happily ever after
Whooo
How could I ask for more?
Lifetime of laughter
At the expense of the death of a bachelor

I'm cutting my mind off
Feels like my heart is going to burst
Alone at a table for two
And I just want to be served
And when you think of me
Am I the best you've ever had?
Share one more drink with me
Smile even though you're sad

I'm walking the long road
Watching the sky fall
The lace in your dress
Tangles my neck
How do I live?

The death of a bachelor
Oh oh-oh
Letting the water fall
The death of a bachelor
Oh oh-oh
Seems so fitting for
Happily ever after
Whooo
How could I ask for more?
Lifetime of laughter
At the expense of the death of a bachelor

The death of a bachelor
Oh oh-oh
Letting the water fall
The death of a bachelor
Oh oh-oh
Seems so fitting for
Happily ever after
Whooo
How could I ask for more?
Lifetime of laughter
At the expense of the death of a bachelor"
Who Says,John Mayer,"Who says I can’t get stoned?
Turn off the lights and the telephone
Me in my house alone
Who says I can’t get stoned?

Who says I can’t be free?
From all of the things that I used to be
Re-write my history
Who says I can’t be free?

It’s been a long night in New York City
It’s been a long night in Baton Rouge
I don’t remember you looking any better
But then again I don’t remember you

Who says I can’t get stoned?
Call up a girl that I used to know
Fake love for an hour or so
Who says I can’t get stoned?

Who says I can’t take time?
Meet all the girls on the county line
Wait on fate to send a sign
Who says I can’t take time?

It’s been a long night in New York City
It’s been a long night in Austin too
I don’t remember you looking any better
But then again I don’t remember you

Who says I can’t get stoned?
Plan a trip to Japan alone
Doesn’t matter if I even go
Who says I can’t get stoned?
Mmhmm

It’s been a long night in New York City
It’s been a long time since 22
I don’t remember you looking any better
But then again I don’t remember, don't remember you"
Another In The Fire,Hillsong United,"There's a grace when the heart is under fire
Another way when the walls are closing in
And when I look at the space between
Where I used to be and this reckoning
I know I will never be alone

There was another in the fire
Standing next to me
There was another in the waters
Holding back the seas
And should I ever need reminding
Of how I've been set free
There is a cross that bears the burden
Where another died for me

There is another in the fire

All my debt left for dead beneath the waters
I'm no longer a slave to my sin anymore
And should I fall in the space between
What remains of me and this reckoning
Either way I won't bow to the things of this world

'Cause I know

And I know I will never be alone

There is another in the fire
Standing next to me
There is another in the waters
Holding back the seas
And should I ever need reminding
What power set me free
There is a grave that holds no body
And now that power lives in me

There is another in the fire
There is another in the fire
There is another in the fire
There is another in the fire

I can see

And I can see the light in the darkness
As the darkness bows to Him
I can hear the roar in the heavens
As the space between wears thin

I can feel the ground shake beneath us
As the prison walls cave in
Nothing stands between us
Nothing stands between us

And there is no other name
But the name that is Jesus
He who was and still is
And will be through it all
So come what may in the space between
All the things unseen
And this reckoning
I know I will never be alone

I know. Come on
I know I will never be alone

There'll be another in the fire
Standing next to me
There'll be another in the waters
Holding back the seas
And should I ever need reminding
How good You've been to me
I'll count the joy come every battle
'Cause I know that's where You'll be

I can see the light

And I can see the light in the darkness
As the darkness bows to Him
I can hear the roar in the heavens
As the space between wears thin

I can feel the ground shake beneath us
As the prison walls cave in
Nothing stands between us
Nothing stands between

There'll be another in the fire
Standing next to me
There'll be another in the waters
Holding back the seas
And should I ever need reminding
How good You've been to me
I'll count the joy come every battle
'Cause I know that's where You'll be

Count the joy come every battle
'Cause I know that's where You'll be
Count the joy come every battle
'Cause I know that's where You'll be

Sing it again

I'll count the joy come every battle
'Cause I know that's where You'll be
I'll count the joy come every battle
'Cause I know that's where You'll be"
Hosanna,Hillsong United,"I see the King of glory
Coming on the clouds with fire
The whole earth shakes
The whole earth shakes

Yeah

I see His love and mercy
Washing over all our sin
The people sing
The people sing

[Chorus]
Hosanna
Hosanna
Hosanna in the highest [x2]

I see a generation
Rising up to take their place
With selfless faith
With selfless faith

I see a near revival
Stirring as we pray and seek
We're on our knees
We're on our knees

[Chorus]

Heal my heart and make it clean
Open up my eyes to the things unseen
Show me how to love like You have loved me

Break my heart for what breaks Yours
Everything I am for Your kingdom's cause
As I walk from earth into eternity

[Chorus x2]

Hosanna in the highest"
As You Find Me,Hillsong United,"I've been strong and I've been broken within a moment
I've been faithful and I've been reckless at every bend
I've held everything together and watched it shatter
I've stood tall and I have crumbled in the same breath

I have wrestled and I have trembled toward surrender
Chased my heart adrift and drifted home again
Plundered blessing till I've been desperate to find redemption
And every time I turn around Lord You're still there

I was found before I was lost
I was Yours before I was not
Grace to spare for all my mistakes
And that part just wrecks me

And I know I
I don't deserve this kind of love
Somehow
This kind of love is who You are
It's a grace I could never add up
To be somebody You still want
Somehow
You love me as You find me

Who am I to think Your glory needs my praises
But if this borrowed breath is Yours Lord take it all
You are faithful and You are gracious and I'm just grateful
To think you don't need a single thing and still You want my heart

I was found before I was lost
I was Yours before I was not
You wear the scars
And that part just wrecks me

And I know I
I don't deserve this kind of love
Somehow
This kind of love is who You are
It's a grace I could never add up
To be somebody You still want
Somehow
You love me as You find me
You love me as You find me
You love me as You find me
You love me as You find me

Your love's too good to leave me here (You love me as You find me)
Your love's too good to leave me here (You love me as You find me)
Your love's too good to leave me here (You love me as You find me)
Your love's too good to leave me here (You love me as You find me)
Your love's too good to leave me here
If you want my heart I won't second guess
Cause I need Your love more than anything
I'm in
I'm Yours
Your love's too good to leave me here
Your love's too good to leave me here
Your love's too good

And I know I
I don't deserve this kind of love
Somehow
This kind of love is who You are
It's a grace I could never add up
To be somebody You still want
Somehow
You love me as You find me
You love me as You find me
You love me as You find me"
Malibu Nights,LANY,"There's no reason, there's no rhyme
I found myself blindsided by
A feeling that I've never known
I'm dealing with it on my own

Phone is quiet, walls are bare
I drink myself to sleep. Who cares?
No one even has to know
I'm dealing with it on my own

I've got way too much time to be this hurt
Somebody, help. It's getting worse
What do you do with a broken heart?
Once the light fades, everything is dark

Way too much whiskey in my blood
I feel my body giving up
Can I hold on for another night?
What do I do with all this time?

Heavy thoughts, when it gets late
Put me in a fragile state
I wish I wasn't going home
Dealing with it on my own

I'm praying, but it's not enough
I'm done. I don't believe in love
Learning how to let it go
Dealing with it on my own

I've got way too much time to be this hurt
Somebody, help. It's getting worse
What do you do with a broken heart?
Once the light fades, everything is dark

Way too much whiskey in my blood
I feel my body giving up
Can I hold on for another night?
What do I do with all this time?
Yeah

I drive circles under street lights
Nothing seems to clear my mind
I can't forget
If it's inside my head
So, I drive chasing Malibu nights
Nothing seems to heal my mind
I can't forget

I've got way too much time to be this hurt
Somebody, help. It's getting worse
What do you do with a broken heart?
Once the light fades, everything is dark

Way too much whiskey in my blood
I feel my body giving up
Can I hold on for another night?
What do I do with all this time?
Yeah

I drive circles under street lights
Nothing seems to clear my mind
I can't forget
If it's inside my head
So, I drive chasing Malibu nights
Nothing seems to heal my mind
I can't forget
If it's inside my head

So, I drive chasing Malibu nights
Nothing seems to heal my mind"
The 1975,The 1975,"We are right now in the beginning of a climate and ecological crisis, and we need to call it what it is: an emergency. We must acknowledge that we do not have the situation under control, and that we don't have all the solutions yet; unless those solutions mean that we simply stop doing certain things. We must admit that we are losing this battle. We have to acknowledge that the older generations have failed. All political movements in their present form have failed, but Homo sapiens have not yet failed. Yes, we are failing, but there is still time to turn everything around. We can still fix this. We still have everything in our own hands, but unless we recognise the overall failures of our current systems, we most probably don't stand a chance.

We are facing a disaster of unspoken sufferings for enormous amounts of people, and now is not the time for speaking politely or focusing on what we can or cannot say. Now is the time to speak clearly. Solving the climate crisis is the greatest and most complex challenge that Homo sapiens have ever faced. The main solution, however, is so simple that even a small child can understand it: we have to stop our emissions of greenhouse gases, and either we do that, or we don't. You say that nothing in life is black or white, but that is a lie, a very dangerous lie. Either we prevent a 1.5 degree of warming, or we don't; either we avoid setting off that irreversible chain reaction beyond human control, or we don't; either we choose to go on as a civilization, or we don't. That is as black or white as it gets because there are no grey areas when it comes to survival.

Now we all have a choice: we can create transformational action that will safeguard the living conditions for future generations, or we can continue with our business as usual and fail. That is up to you and me. And yes, we need a system change rather than individual change, but you cannot have one without the other. If you look through history, all the big changes in society have been started by people at the grassroots level—people like you and me. So, I ask you to please wake up and make the changes required possible. To do your best is no longer good enough. We must all do the seemingly impossible. Today, we use about 100 million barrels of oil every single day. There are no politics to change that; there are no rules to keep that oil in the ground. So, we can no longer save the world by playing by the rules, because the rules have to be changed. Everything needs to change, and it has to start today. So, everyone out there, it is now time for civil disobedience. It is time to rebel."
Highlands (Song Of Ascent),Hillsong United,"O how high would I climb mountains
If the mountains were where You hide
O how far I'd scale the valleys
If You graced the other side

O how long have I chased rivers
From lowly seas to where they rise
Against the rush of grace descending
From the source of its supply

Cause in the highlands and the heartache
You're neither more or less inclined
I would search and stop at nothing
You're just not that hard to find

Oh I will praise You on the mountain
And I will praise you when the mountain's in my way
You're the summit where my feet are
So I will praise You in the valleys all the same
No less God within the shadows
No less faithful when the night leads me astray
Cause You're the Heaven where my heart is
In the highlands and the heartache all the same

O how far beneath Your glory
Does Your kindness extend the path
From where your feet rest on the sunrise
To where You sweep the sinner's past

And though how fast would you come running
If just to shadow me through the night
Trace my steps through all my failures
And walk me out the other side

For who could dare ascend that mountain
That valleyed hill called Calvary
But for the One I call Good Shepherd
Who like a lamb was slain for me

Oh I will praise You on the mountain
And I will praise you when the mountain's in my way
You're the summit where my feet are
So I will praise You in the valleys all the same
No less God within the shadows
No less faithful when the night leads me astray
Cause You're the Heaven where my heart is
In the highlands and the heartache all the same

Sing it out

Whatever I walk through
Wherever I am
Your Name can move mountains
Wherever I stand
And if ever I walk through
The valley of death
I'll sing through the shadows
My song of ascent

Whatever I walk through
Wherever I am
Your Name can move mountains
Wherever I stand
And if ever I walk through
The valley of death
I'll sing through the shadows
My song of ascent
My song of ascent

Sing it out

My song of ascent

From the gravest of all valleys
Come the pastures we call grace
A mighty river flowing upwards
From a deep but empty grave

So I will praise You on the mountain
And I will praise you when the mountain's in my way
You're the summit where my feet are
Yes you are
So I will praise You in the valleys all the same
No less God within the shadows
No less faithful when the night leads me astray
You're the Heaven where my heart is
In the highlands and the heartache all the same"
Hosanna,Hillsong United,"I see the King of glory
Coming on the clouds with fire
The whole earth shakes
The whole earth shakes

Yeah

I see His love and mercy
Washing over all our sin
The people sing
The people sing

[Chorus]
Hosanna
Hosanna
Hosanna in the highest [x2]

I see a generation
Rising up to take their place
With selfless faith
With selfless faith

I see a near revival
Stirring as we pray and seek
We're on our knees
We're on our knees

[Chorus]

Heal my heart and make it clean
Open up my eyes to the things unseen
Show me how to love like You have loved me

Break my heart for what breaks Yours
Everything I am for Your kingdom's cause
As I walk from earth into eternity

[Chorus x2]

Hosanna in the highest"
