title,arist,lyrics
Midsummer Madness,88rising,"[Joji:]
Last night, I lost all my patience
You were fucked up, I was wasted
Midsummer madness
I can't take it no more, no more
Fuck the ru-u-u-ules
Ru-u-u-ules
Ru-u-u-u-oh
Fuck the ru-u-u-ules
Ru-u-u-ules
Ru-u-u-u-oh

[AUGUST 08:]
Make it make sense
Make it make sense, I
Can't hide a heart in a black tint, I
You were off the bullshit and the tablets
Under 21, both savage
All these blurry nights feel the same to me
Heart full of hate, no vacancy
Only one you gonna to blame when it's over
Can't look me in my eyes when you sober
Hey, I'm the one you call when you feel alone
Running up a check just to help you cope
I just want to live in the moment
You just want to fight cause you lonely
Tryna see a milly then be really up
Rockstar crash in my Bentley truck
You need all my love
You've got all the love

[Joji:]
Last night, I lost all my patience
You were fucked up, I was wasted
Midsummer madness
I can't take it no more, no more
Fuck the ru-u-u-ules
Ru-u-u-ules
Ru-u-u-u-oh
Fuck the ru-u-u-ules
Ru-u-u-ules
Ru-u-u-u-oh

[Rich Brian:]
Uh, ayy, ayy, uh
Been a minute since I heard you wanna stay as friends
I'll learn from my mistakes, you make me want to learn again
I don't really see the problem, it's a risk I wanna take
You say ""let's see where it goes"" but I don't really wanna wait
Ayy, look and listen up
You've been smiling when we fuck
Let's not even think about it, we ain't gotta talk a lot
Make it hotter than the summer, I'll stay with you when it's not
Put the slow jams on, I wanna see you make it pop, ayy
Moving all around the bed like we just toss and turn, ayy
Playin' with the fire, I don't care if I get burned, ayy
I'ma treat you good like you've been waiting for your turn, ayy
Nothing in the universe feel better than your tongue, ayy
'Bout to go home, I know you finna come with
I'm playing these games like a pimp on the strip
Conversations late night about how we gonna live
I don't got the answer to it, all I'm finna say is...

[Joji (DZ):]
Fuck the ru-u-u-ules
Ru-u-u-ules
Ru-u-u-u-oh
Fuck the ru-u-u-ules (ayy, gang, gang)
Ru-u-u-ules (ayy, gang, gang)
Ru-u-u-u-oh (yeah)

[DZ:]
當光灑進了 white Porsche
I never felt so good
Call me DJ Knowknow, oh-oh no
播放列表歌很夠
你點頭我心裡會滿足
博物館給了更多感悟
在天文台半山道漫步
拼LA夜景的版圖
Fuck the rules
距離不是問題, I know
為了這一刻的feel我值得飛那麼久
She lookin' so pretty, I wanted a kiss
把beautiful memories 存入我的iPhone X
I,I,I hope 24 hours can become 48
看日落 粉的天 有藍月亮陪
想要擁抱 你在我需要前給
陽光明媚，我不在乎
Sunny gone, I don't care, you're my sunshine babe

[Joji:]
I don't feel control
Better on my own
I'm used to being so gone for way too long
Long, long, long
[NIKI:]
Rules, rules, rules
Rules, rules, rules"
See The Light,Hillsong Worship,"Arise my soul
Remember this
He took my sin
And He buried it

No longer I who live
Now Jesus lives in me
For I was dead in sin
But I woke up to see the light

No I won't boast
But in the cross
That saved my soul
All else is loss

The grip of fear
Has no hold on me
So where, oh, death
Where is your sting

No longer I who live
Now Jesus lives in me
For I was dead in sin
But I woke up to see the light

All, all of this for your glory
All, all of this for your glory
All, all of this for your glory
All, all of this for your glory
All, all of this for your glory
All, all of this for your glory

No longer I who live
Now Jesus lives in me
For I was dead in sin
But I woke up to see the light

All, all of this for your glory
All, all of this for your glory
All, all of this for your glory
All, all of this for your glory"
Goodness Of God,One Sonic Society,"I love You, Lord, oh, Your mercy never fails me
All my days I've been held in Your hands
From the moment that I wake up until I lay my head
I will sing of the goodness of God

All my life You have been faithful
And all my life You have been so, so good
With every breath that I am able
I will sing of the goodness of God

I love Your voice, You have led me through the fire
In darkest nights You are close like no other
I've known You as a father, I've known You as a friend
And I have lived in the goodness of God

And all my life You have been faithful
Yes, all my life You have been so, so good
With every breath that I am able
Oh, I will sing of the goodness of God

Your goodness is running after, it's running after me
Your goodness is running after, it's running after me
With my life laid down, I'm surrendered now, I give You everything
Your goodness is running after, it's running after me
Your goodness is running after, it's running after me
Your goodness is running after, it's running after me
With my life laid down, I'm surrendered now, I give You everything
Your goodness is running after, it's running after me, oh-oh

And all my life You have been faithful
Yes, all my life You have been so, so good
With every breath that I am able
Yes, I will sing of the goodness of God
And all my life You have been faithful
And all my life You have been so, so good
With every breath that I am able
Oh, I will sing of the goodness of God
Yes, I will sing of the goodness of God"
none,none,none
No Me Deja Ir (Love Won't Give Up),Elevation Worship,"Nada fuera de tu amor satisface
Ningún error que de ti me separe
No se acaba mi esperanza
Eres fiel Tú, eres fiel Dios

La cruz es mi confianza de vivir
Tu amor no me deja ir
Tú cúmpliras cada promesa en mi
Tu amor no me deja ir

Me llamas de nuevo a donde me encontraste
Aunque me perdí nunca me abandonaste
No se acaba mi esperanza
Eres fiel Tú, eres fiel Dios

La cruz es mi confianza de vivir
Tu amor no me deja ir
Tú cúmpliras cada promesa en mi
Tu amor no me deja ir
Tu amor no me deja ir

No importa donde yo voy
Me encuentro en tu amor
Cuando angustiado estoy
No me soltarás
No importa donde yo voy
Me encuentro en tu amor
Cuando angustiado estoy
No me soltarás
No importa donde yo voy
Me encuentro en tu amor
Cuando angustiado estoy
No me soltarás
No importa donde yo voy
Me encuentro en tu amor
Cuando angustiado estoy
No me soltarás

La cruz es mi confianza de vivir
Tu amor no me deja ir
Tú cúmpliras cada promesa en mi
Tu amor no me deja ir
La cruz es mi confianza de vivir
Tu amor no me deja ir
Tú cúmpliras cada promesa en mi
Tu amor no me deja ir
Tu amor no me deja ir"
none,none,none
none,none,none
none,none,none
Sorry (Homecoming Live),Beyonce,"Let me hear you sing

Sorry, I ain't sorry
Sorry, I ain't sorry
I ain't sorry, nigga, nah
Sorry, I ain't sorry
Sorry, I ain't sorry
I ain't sorry

He trying to roll me up (I ain't sorry)
I ain't picking up (I ain't sorry)
I'm headed to the club (I ain't sorry)
I ain't thinking 'bout you (I ain't sorry)
Me and my ladies sip my D'USSÉ cup
I don't give a fuck, chucking my deuces up
Suck on my balls, pause

Bugaboos
I need a good laugh
You, make me laugh

(Bugaboos)
Oh, oh, oh, oh, oh, oh, oh, oh
Ah, ah, ah, ah, ah, ah, ah, ah

Did that make us laugh?
Think about it

(Bugaboos)
Bzzz, bzz, bzz, bzz, bzz

Fall in line
Ladies?
Ladies?
Ladies?
Are we smart?
Are we strong?
Have we had enough of the bullshit?
Show 'em

(Suck, on my balls)
(Suck on my balls)
(Suck on my balls, bitch)
(Suck, on my balls)
(Suck on my balls)
(Hell nah)
(Hell nah)

Middle fingers up (Middle fingers up)
Put them hands high (Put them hands high)
Wave it in his face (Wave it in his face)
Tell him, boy, bye (Tell, tell 'em boy bye)
Tell him, boy, bye (Tell, tell 'em boy bye)
Tell him, boy, bye (Tell, tell 'em boy bye)
Tell him, boy, bye (Tell, tell 'em boy bye)
(I ain't thinkin' about you, hooah!)

Middle fingers up, put them hands high
Wave it in his face, tell him, boy, bye
Tell him, boy, bye, boy, bye
Middle fingers up, I ain't thinking 'bout you

I ain't sorry
I ain't sorry
I ain't sorry
I ain't thinking 'bout you
I ain't sorry
I ain't sorry
I ain't sorry
No, no, hell nah

Now you want to say you're sorry
Now you want to call me crying
Now you gotta see me wilding
Now I'm the one that's lying
And I don't feel bad about it
It's exactly what you get
Stop interrupting my grinding

I can't believe I believed everything we had would last
So young and naive for me to think she was from your past
Foolish of me to dream while you cheat (With what?)
With loose women
It took me some time, but now I am strong

Because I realized I got
Me, myself, and I, that's all I got in the end
That's what I found out
And it ain't no need to cry
(I see you, how did you do that so fast?)
(She has on my outfit ya'll)
Sang it
Me, myself, and I, that's all I got in the end
That's what I found out
And it ain't no need to cry
And it ain't no need to cry
I took a vow that from now on
I'm gon' my own best friend

Right ladies?
Yes

I left a note in the hallway
By the time you read it, I'll be far away
I'm far away
But I ain't fucking with nobody
Let's have a toast to the good life
Suicide before you see this tear fall down my eyes
Me and my baby, we gon' be alright
We gon' live a good life
Big homie better grow up
Me and my whoadies 'bout to stroll up
I see them boppers in the corner
They sneaking out the back door
He only want me when I'm not there
He better call Becky with the good hair
He better call Becky with the good hair"
Crazy In Love (Fifty Shades Of Grey Version),Beyonce,"Uh oh, uh oh, uh oh, oh no no
Uh oh, uh oh, uh oh, oh no no
Uh oh, uh oh, uh oh, oh no no
Uh oh, uh oh, uh oh, oh no no

You got me looking, so crazy my baby
I'm not myself lately I'm foolish, I don't do this
I've been playing myself, baby I don't care
Baby your love's got the best of me
Your love's got the best of me
Baby your love's got the best of me
Baby you're making a fool of me
You got me sprung and I don't care who sees
Cause baby you got me, you got me, oh you got me, you got me

I look and stare so deep in your eyes
I touch on you more and more every time
When you leave I'm begging you not to go
Call your name two or three times in a row
Such a funny thing for me to try to explain
How I'm feeling and my pride is the one to blame
And I still don't understand
Just how your love could do what no one else can

Got me looking so crazy right now
Your love's got me looking so crazy right now
Got me looking so crazy right now
Your touch got me looking so crazy right now (your love)

Hoping you'll save me right now
Your kiss got me hoping you'll save me right now (your love)
Looking so crazy in love
Got me looking, got me looking so crazy in love
Got me looking so crazy right now
Your love's got me looking so crazy right now
Got me looking so crazy right now
Your touch got me looking so crazy right now

Got me hoping you'll save me right now
Your kiss got me hoping you'll save me right now (your love)
Looking so crazy in love
Got me looking, got me looking so crazy in love

Uh oh, uh oh, uh oh, oh no no
Uh oh, uh oh, uh oh, oh no no
Uh oh, uh oh, uh oh, oh no no
Uh oh, uh oh, uh oh, oh no no"
