Songs
Bruno Major	Easily
Panic! At The Disco	Death Of A Bachelor
John Mayer	New Light
Hillsong United	Another In The Fire
Hillsong United	Whole Heart
Hillsong United	Good Grace
LANY	Malibu Nights
The 1975	Its Not Living
Hillsong United	Highlands (Song of Ascent)
Hillsong United	Whole Heart
Billie Eilish	Bad Guy
Hillsong Worship	Who You Say I Am
Eric Nam	Honestly
Hillsong United	As You Find Me
Claude Debussy	Claire De Lune
David Crowder	How He Loves - Acoustic
Hillsong Worship	So Will I
UPPERROOM	Tremble 
Hillsong United	Another In The Fire
Daniel Caesar	Best Part
Elevation Worship	Do It Again
Jhene Aiko	New Balance
Elevation Worship	Love Won't Give Up
Hillsong United	Starts and Ends
Lauren Daigle	You say
Survive The Said Prophet	Red 
6LACK	Nonchalant
21 Savage	a lot
Flume	Never Be Like You
Honne	Location Unknown
Maroon 5	Memories
Elevation Worship	See A Victory
JPCC Worship	In Your Presence
Joseph Prince	Healing Ministry
Lauv	I like Me Better
Pavement	Spit On A stranger
Lord Huron 	The Night We Met
Elevation Worship	Do It Again
Hillsong Worship	Bright As the Sun
Hillsong United	Oceans
